id,type,citycode,adname,alias,tel,entr_location,address,adcode,pname,biz_type,cityname,name,location,biz_ext.cost,biz_ext.rating,lng,lat,lng84,lat84
B001B0I4K0,风景名胜;风景名胜;国家级景点,27,武昌区,黄鹤楼公园-黄鹤楼,027-88875096,"114.307645,30.542567",蛇山西山坡特1号,420106,湖北省,tour,武汉市,黄鹤楼,"114.302467,30.544649",70,4.9,114.302467,30.544649,114.2970304,30.54708106
B001B0A0CK,风景名胜;风景名胜;国家级景点,27,武昌区,东湖风景区,027-86773706;027-86701000,"114.376453,30.577273",沿湖大道16号,420106,湖北省,tour,武汉市,东湖生态旅游风景区,"114.395061,30.567641",[],5,114.395061,30.567641,114.3895141,30.56992725
B0FFG83RE8,风景名胜;风景名胜;国家级景点,27,硚口区,[],027-65023975,"114.225544,30.621906",金山大道和金南二路交汇处,420104,湖北省,tour,武汉市,武汉园博园,"114.218672,30.623063",60,4.9,114.218672,30.623063,114.2132097,30.6254963
B0FFFQLIK2,风景名胜;风景名胜;国家级景点,27,蔡甸区,[],027-69303030,"113.954608,30.471487",104省道西边(炉房村旁边),420114,湖北省,tour,武汉市,九真山风景区,"113.955080,30.481049",60,4.8,113.95508,30.481049,113.9495977,30.48367692
B001B1CE1H,风景名胜;风景名胜;国家级景点,27,黄陂区,[],027-61105500,"114.375707,31.106935",胜景大道77号,420116,湖北省,tour,武汉市,黄陂木兰文化生态旅游区,"114.348882,31.079535",80,4.9,114.348882,31.079535,114.3433264,31.08160528
B02CA00R6V,风景名胜;风景名胜;国家级景点,714,铁山区,黄石矿山公园,0714-5416977;0714-5433321,"114.918824,30.198949",东方大道2号,420205,湖北省,tour,黄石市,黄石国家矿山公园,"114.918678,30.207061",20,4.8,114.918678,30.207061,114.9136428,30.20977248
B02CA005DT,风景名胜;风景名胜;国家级景点,714,下陆区,[],0714-3189692,"114.944654,30.193542",东方山风景区内,420204,湖北省,tour,黄石市,东方山风景区,"114.950410,30.204067",25,4.8,114.95041,30.204067,114.9453175,30.2067328
B02C7006MJ,风景名胜;风景名胜;国家级景点,711,鄂城区,[],0711-3859880;0711-3866388,"114.896368,30.380423",凤凰路76号,420704,湖北省,tour,鄂州市,莲花山,"114.899713,30.380065",[],4.7,114.899713,30.380065,114.8946735,30.38276391
B02C90OEVE,风景名胜;风景名胜;国家级景点,713,黄州区,[],0713-8352861;0713-8358454,"114.867808,30.450736",黄州城栖霞路赤壁桥旁,421102,湖北省,tour,黄冈市,东坡赤壁,"114.869211,30.454192",40,4.7,114.869211,30.454192,114.8641446,30.45685373
B0FFFRUZ93,风景名胜;风景名胜;国家级景点,712,孝南区,[],0712-2999666,"113.94519,31.011981",朋兴乡长丰村一组,420902,湖北省,tour,孝感市,金卉庄园,"113.950075,31.008295",1,4.7,113.950075,31.008295,113.9445554,31.01067874
